CONSTTK const 1
INTTK int 1
IDENFR _begini 1
ASSIGN = 1
INTCON 0 1
COMMA , 1
IDENFR _endi 1
ASSIGN = 1
PLUS + 1
INTCON 18 1
COMMA , 1
IDENFR testfg 1
ASSIGN = 1
MINU - 1
INTCON 6 1
SEMICN ; 1
VOIDTK void 2
MAINTK main 2
LPARENT ( 2
RPARENT ) 2
LBRACE { 2
INTTK int 3
IDENFR a 3
COMMA , 3
IDENFR i 3
SEMICN ; 3
PRINTFTK printf 4
LPARENT ( 4
STRCON _begini =  4
COMMA , 4
IDENFR _begini 4
RPARENT ) 4
SEMICN ; 4
SCANFTK scanf 5
LPARENT ( 5
IDENFR i 5
RPARENT ) 5
SEMICN ; 5
IDENFR a 6
ASSIGN = 6
IDENFR i 6
SEMICN ; 6
PRINTFTK printf 7
LPARENT ( 7
IDENFR a 7
RPARENT ) 7
SEMICN ; 7
IDENFR a 8
ASSIGN = 8
IDENFR testfg 8
SEMICN ; 8
PRINTFTK printf 9
LPARENT ( 9
IDENFR a 9
RPARENT ) 9
SEMICN ; 9
IDENFR a 10
ASSIGN = 10
IDENFR a 10
PLUS + 10
IDENFR _endi 10
PLUS + 10
IDENFR testfg 10
SEMICN ; 10
PRINTFTK printf 11
LPARENT ( 11
IDENFR a 11
RPARENT ) 11
SEMICN ; 11
PRINTFTK printf 12
LPARENT ( 12
STRCON Let's have fun. 12
RPARENT ) 12
SEMICN ; 12
IDENFR a 13
ASSIGN = 13
INTCON 1 13
SEMICN ; 13
IDENFR a 14
ASSIGN = 14
LPARENT ( 14
IDENFR a 14
PLUS + 14
INTCON 1800 14
PLUS + 14
INTCON 5 14
RPARENT ) 14
MULT * 14
INTCON 1000 14
SEMICN ; 14
PRINTFTK printf 15
LPARENT ( 15
IDENFR a 15
RPARENT ) 15
SEMICN ; 15
PRINTFTK printf 16
LPARENT ( 16
STRCON My stunum is :  16
RPARENT ) 16
SEMICN ; 16
PRINTFTK printf 17
LPARENT ( 17
STRCON 18060000 17
RPARENT ) 17
SEMICN ; 17
PRINTFTK printf 18
LPARENT ( 18
STRCON a is 18
COMMA , 18
MINU - 18
INTCON 54 18
RPARENT ) 18
SEMICN ; 18
PRINTFTK printf 19
LPARENT ( 19
STRCON Congratulations 19
RPARENT ) 19
SEMICN ; 19
RBRACE } 20
